id;start_date;end_date;language
1;2020-08-26T21:03:44;2020-08-26T18:53:59;SPANISH
2;2020-08-26T01:53:55;2020-08-26T20:58:20;SPANISH
3;2020-08-26T16:49:14;2020-08-26T03:23:23;FRENCH
4;2020-08-26T08:06:45;2020-08-26T19:38:11;FRENCH
5;2020-08-26T17:37:03;2020-08-26T22:24:02;FRENCH
6;2020-08-26T11:29:24;2020-08-26T23:37:38;FRENCH
7;2020-08-26T13:14:44;2020-08-26T07:05:35;FRENCH
8;2020-08-26T12:10:57;2020-08-26T22:27:05;SPANISH
9;2020-08-26T10:52:06;2020-08-26T07:33:29;SPANISH
10;2020-08-26T19:04:10;2020-08-26T05:38:40;SPANISH
